tCycB_AU,pEnsaB55_ss_AU
0.4475,0.0457
0.4475,0.198
0.4475,0.203
0.4475,0.2081
0.4475,0.2487
0.4475,0.2538
0.4475,0.2589
0.4503,0.0406
0.4503,0.0457
0.4503,0.198
0.4503,0.203
0.4503,0.2081
0.4503,0.2487
0.4503,0.2538
0.4503,0.2589
0.453,0.0406
0.453,0.0457
0.453,0.203
0.453,0.2081
0.453,0.2487
0.453,0.2538
0.453,0.2589
0.4558,0.0406
0.4558,0.0457
0.4558,0.2487
0.4558,0.2538
0.4558,0.2589
0.4586,0.0406
0.4586,0.0457
0.4586,0.0508
0.4586,0.2487
0.4586,0.2538
0.4586,0.2589
0.4613,0.0406
0.4613,0.0457
0.4613,0.0508
0.4613,0.2487
0.4613,0.2538
0.4613,0.2589
0.4641,0.0406
0.4641,0.0457
0.4641,0.0508
0.4641,0.198
0.4641,0.203
0.4641,0.2487
0.4641,0.2538
0.4641,0.2589
0.4669,0.0406
0.4669,0.0457
0.4669,0.0508
0.4669,0.198
0.4669,0.203
0.4669,0.2487
0.4669,0.2538
0.4669,0.2589
0.4696,0.0406
0.4696,0.0457
0.4696,0.0508
0.4696,0.198
0.4696,0.203
0.4696,0.2487
0.4696,0.2538
0.4696,0.2589
0.4724,0.0406
0.4724,0.0457
0.4724,0.0508
0.4724,0.2487
0.4724,0.2538
0.4724,0.2589
0.4751,0.0406
0.4751,0.0457
0.4751,0.0508
0.4751,0.2487
0.4751,0.2538
0.4751,0.2589
0.4779,0.0406
0.4779,0.0457
0.4779,0.0508
0.4779,0.2487
0.4779,0.2538
0.4779,0.2589
0.4807,0.0406
0.4807,0.0457
0.4807,0.0508
0.4807,0.198
0.4807,0.2487
0.4807,0.2538
0.4807,0.2589
0.4834,0.0406
0.4834,0.0457
0.4834,0.0508
0.4834,0.1929
0.4834,0.198
0.4834,0.203
0.4834,0.2487
0.4834,0.2538
0.4834,0.2589
0.4862,0.0457
0.4862,0.0508
0.4862,0.1929
0.4862,0.198
0.4862,0.203
0.4862,0.2487
0.4862,0.2538
0.4862,0.2589
0.489,0.0457
0.489,0.0508
0.489,0.2487
0.489,0.2538
0.489,0.2589
0.4917,0.0457
0.4917,0.0508
0.4917,0.2487
0.4917,0.2538
0.4917,0.2589
0.4945,0.0457
0.4945,0.0508
0.4945,0.2487
0.4945,0.2538
0.4945,0.2589
0.4972,0.0457
0.4972,0.0508
0.4972,0.0558
0.4972,0.2487
0.4972,0.2538
0.4972,0.2589
0.5,0.0457
0.5,0.0508
0.5,0.0558
0.5,0.1878
0.5,0.1929
0.5,0.198
0.5,0.2487
0.5,0.2538
0.5,0.2589
0.5028,0.0457
0.5028,0.0508
0.5028,0.0558
0.5028,0.1878
0.5028,0.1929
0.5028,0.198
0.5028,0.2487
0.5028,0.2538
0.5028,0.2589
0.5055,0.0457
0.5055,0.0508
0.5055,0.0558
0.5055,0.2487
0.5055,0.2538
0.5055,0.2589
0.5083,0.0457
0.5083,0.0508
0.5083,0.0558
0.5083,0.2487
0.5083,0.2538
0.5083,0.2589
0.511,0.0457
0.511,0.0508
0.511,0.0558
0.511,0.2487
0.511,0.2538
0.511,0.2589
0.5138,0.0457
0.5138,0.0508
0.5138,0.0558
0.5138,0.2487
0.5138,0.2538
0.5138,0.2589
0.5166,0.0457
0.5166,0.0508
0.5166,0.0558
0.5166,0.1878
0.5166,0.1929
0.5166,0.198
0.5166,0.2487
0.5166,0.2538
0.5166,0.2589
0.5193,0.0457
0.5193,0.0508
0.5193,0.0558
0.5193,0.1878
0.5193,0.1929
0.5193,0.198
0.5193,0.2487
0.5193,0.2538
0.5193,0.2589
0.5221,0.0457
0.5221,0.0508
0.5221,0.0558
0.5221,0.2487
0.5221,0.2538
0.5221,0.2589
0.5249,0.0508
0.5249,0.0558
0.5249,0.2487
0.5249,0.2538
0.5249,0.2589
0.5276,0.0508
0.5276,0.0558
0.5276,0.2487
0.5276,0.2538
0.5276,0.2589
0.5304,0.0508
0.5304,0.0558
0.5304,0.2487
0.5304,0.2538
0.5304,0.2589
0.5331,0.0508
0.5331,0.0558
0.5331,0.0609
0.5331,0.1827
0.5331,0.1878
0.5331,0.1929
0.5331,0.2487
0.5331,0.2538
0.5331,0.2589
0.5359,0.0508
0.5359,0.0558
0.5359,0.0609
0.5359,0.1827
0.5359,0.1878
0.5359,0.1929
0.5359,0.2487
0.5359,0.2538
0.5359,0.2589
0.5387,0.0508
0.5387,0.0558
0.5387,0.0609
0.5387,0.1878
0.5387,0.2487
0.5387,0.2538
0.5387,0.2589
0.5414,0.0508
0.5414,0.0558
0.5414,0.0609
0.5414,0.2487
0.5414,0.2538
0.5414,0.2589
0.5442,0.0508
0.5442,0.0558
0.5442,0.0609
0.5442,0.2487
0.5442,0.2538
0.5442,0.2589
0.547,0.0508
0.547,0.0558
0.547,0.0609
0.547,0.2487
0.547,0.2538
0.547,0.2589
0.5497,0.0508
0.5497,0.0558
0.5497,0.0609
0.5497,0.1827
0.5497,0.1878
0.5497,0.2487
0.5497,0.2538
0.5497,0.2589
0.5525,0.0508
0.5525,0.0558
0.5525,0.0609
0.5525,0.1777
0.5525,0.1827
0.5525,0.1878
0.5525,0.2487
0.5525,0.2538
0.5525,0.2589
0.5552,0.0558
0.5552,0.0609
0.5552,0.1827
0.5552,0.1878
0.5552,0.2487
0.5552,0.2538
0.5552,0.2589
0.558,0.0558
0.558,0.0609
0.558,0.2487
0.558,0.2538
0.558,0.2589
0.5608,0.0558
0.5608,0.0609
0.5608,0.2487
0.5608,0.2538
0.5608,0.2589
0.5635,0.0558
0.5635,0.0609
0.5635,0.066
0.5635,0.2487
0.5635,0.2538
0.5635,0.2589
0.5663,0.0558
0.5663,0.0609
0.5663,0.066
0.5663,0.1777
0.5663,0.1827
0.5663,0.2487
0.5663,0.2538
0.5663,0.2589
0.5691,0.0558
0.5691,0.0609
0.5691,0.066
0.5691,0.1777
0.5691,0.1827
0.5691,0.2487
0.5691,0.2538
0.5691,0.2589
0.5718,0.0558
0.5718,0.0609
0.5718,0.066
0.5718,0.1777
0.5718,0.1827
0.5718,0.2487
0.5718,0.2538
0.5718,0.2589
0.5746,0.0558
0.5746,0.0609
0.5746,0.066
0.5746,0.2487
0.5746,0.2538
0.5746,0.2589
0.5773,0.0558
0.5773,0.0609
0.5773,0.066
0.5773,0.2487
0.5773,0.2538
0.5773,0.2589
0.5801,0.0558
0.5801,0.0609
0.5801,0.066
0.5801,0.2487
0.5801,0.2538
0.5801,0.2589
0.5829,0.0558
0.5829,0.0609
0.5829,0.066
0.5829,0.2487
0.5829,0.2538
0.5829,0.2589
0.5856,0.0609
0.5856,0.066
0.5856,0.1726
0.5856,0.1777
0.5856,0.1827
0.5856,0.2487
0.5856,0.2538
0.5856,0.2589
0.5884,0.0609
0.5884,0.066
0.5884,0.1726
0.5884,0.1777
0.5884,0.1827
0.5884,0.2487
0.5884,0.2538
0.5884,0.2589
0.5912,0.0609
0.5912,0.066
0.5912,0.2487
0.5912,0.2538
0.5912,0.2589
0.5939,0.0609
0.5939,0.066
0.5939,0.0711
0.5939,0.2487
0.5939,0.2538
0.5939,0.2589
0.5967,0.0609
0.5967,0.066
0.5967,0.0711
0.5967,0.2487
0.5967,0.2538
0.5967,0.2589
0.5994,0.0051
0.5994,0.0609
0.5994,0.066
0.5994,0.0711
0.5994,0.2487
0.5994,0.2538
0.5994,0.2589
0.6022,0.0609
0.6022,0.066
0.6022,0.0711
0.6022,0.1675
0.6022,0.1726
0.6022,0.1777
0.6022,0.2487
0.6022,0.2538
0.6022,0.2589
0.605,0.0609
0.605,0.066
0.605,0.0711
0.605,0.1675
0.605,0.1726
0.605,0.1777
0.605,0.2487
0.605,0.2538
0.605,0.2589
0.6077,0.0609
0.6077,0.066
0.6077,0.0711
0.6077,0.2487
0.6077,0.2538
0.6077,0.2589
0.6105,0.066
0.6105,0.0711
0.6105,0.2487
0.6105,0.2538
0.6105,0.2589
0.6133,0.066
0.6133,0.0711
0.6133,0.2487
0.6133,0.2538
0.6133,0.2589
0.616,0.066
0.616,0.0711
0.616,0.0761
0.616,0.2487
0.616,0.2538
0.616,0.2589
0.6188,0.066
0.6188,0.0711
0.6188,0.0761
0.6188,0.1624
0.6188,0.1675
0.6188,0.1726
0.6188,0.2487
0.6188,0.2538
0.6188,0.2589
0.6215,0.066
0.6215,0.0711
0.6215,0.0761
0.6215,0.1624
0.6215,0.1675
0.6215,0.1726
0.6215,0.2487
0.6215,0.2538
0.6215,0.2589
0.6243,0.066
0.6243,0.0711
0.6243,0.0761
0.6243,0.2487
0.6243,0.2538
0.6243,0.2589
0.6271,0.066
0.6271,0.0711
0.6271,0.0761
0.6271,0.2487
0.6271,0.2538
0.6271,0.2589
0.6298,0.066
0.6298,0.0711
0.6298,0.0761
0.6298,0.2487
0.6298,0.2538
0.6298,0.2589
0.6326,0.066
0.6326,0.0711
0.6326,0.0761
0.6326,0.2487
0.6326,0.2538
0.6326,0.2589
0.6354,0.0711
0.6354,0.0761
0.6354,0.1624
0.6354,0.1675
0.6354,0.2487
0.6354,0.2538
0.6354,0.2589
0.6381,0.0711
0.6381,0.0761
0.6381,0.0812
0.6381,0.1574
0.6381,0.1624
0.6381,0.1675
0.6381,0.2487
0.6381,0.2538
0.6381,0.2589
0.6409,0.0711
0.6409,0.0761
0.6409,0.0812
0.6409,0.1624
0.6409,0.1675
0.6409,0.2487
0.6409,0.2538
0.6409,0.2589
0.6436,0.0711
0.6436,0.0761
0.6436,0.0812
0.6436,0.2487
0.6436,0.2538
0.6436,0.2589
0.6464,0.0711
0.6464,0.0761
0.6464,0.0812
0.6464,0.2487
0.6464,0.2538
0.6464,0.2589
0.6492,0.0711
0.6492,0.0761
0.6492,0.0812
0.6492,0.2487
0.6492,0.2538
0.6492,0.2589
0.6519,0.0711
0.6519,0.0761
0.6519,0.0812
0.6519,0.1574
0.6519,0.1624
0.6519,0.2487
0.6519,0.2538
0.6519,0.2589
0.6547,0.0761
0.6547,0.0812
0.6547,0.1523
0.6547,0.1574
0.6547,0.1624
0.6547,0.2487
0.6547,0.2538
0.6547,0.2589
0.6575,0.0761
0.6575,0.0812
0.6575,0.1574
0.6575,0.1624
0.6575,0.2487
0.6575,0.2538
0.6575,0.2589
0.6602,0.0761
0.6602,0.0812
0.6602,0.0863
0.6602,0.2487
0.6602,0.2538
0.6602,0.2589
0.663,0.0761
0.663,0.0812
0.663,0.0863
0.663,0.2487
0.663,0.2538
0.663,0.2589
0.6657,0.0761
0.6657,0.0812
0.6657,0.0863
0.6657,0.2487
0.6657,0.2538
0.6657,0.2589
0.6685,0.0761
0.6685,0.0812
0.6685,0.0863
0.6685,0.1523
0.6685,0.2487
0.6685,0.2538
0.6685,0.2589
0.6713,0.0812
0.6713,0.0863
0.6713,0.1472
0.6713,0.1523
0.6713,0.1574
0.6713,0.2487
0.6713,0.2538
0.6713,0.2589
0.674,0.0812
0.674,0.0863
0.674,0.1523
0.674,0.1574
0.674,0.2487
0.674,0.2538
0.674,0.2589
0.6768,0.0812
0.6768,0.0863
0.6768,0.0914
0.6768,0.2487
0.6768,0.2538
0.6768,0.2589
0.6796,0.0812
0.6796,0.0863
0.6796,0.0914
0.6796,0.2487
0.6796,0.2538
0.6796,0.2589
0.6823,0.0812
0.6823,0.0863
0.6823,0.0914
0.6823,0.2487
0.6823,0.2538
0.6823,0.2589
0.6851,0.0812
0.6851,0.0863
0.6851,0.0914
0.6851,0.1421
0.6851,0.1472
0.6851,0.2487
0.6851,0.2538
0.6851,0.2589
0.6878,0.0863
0.6878,0.0914
0.6878,0.1421
0.6878,0.1472
0.6878,0.1523
0.6878,0.2487
0.6878,0.2538
0.6878,0.2589
0.6906,0.0863
0.6906,0.0914
0.6906,0.0964
0.6906,0.1421
0.6906,0.1472
0.6906,0.2487
0.6906,0.2538
0.6906,0.2589
0.6934,0.0863
0.6934,0.0914
0.6934,0.0964
0.6934,0.2487
0.6934,0.2538
0.6934,0.2589
0.6961,0.0863
0.6961,0.0914
0.6961,0.0964
0.6961,0.2487
0.6961,0.2538
0.6961,0.2589
0.6989,0.0914
0.6989,0.0964
0.6989,0.2487
0.6989,0.2538
0.6989,0.2589
0.7017,0.0914
0.7017,0.0964
0.7017,0.1015
0.7017,0.1371
0.7017,0.2487
0.7017,0.2538
0.7017,0.2589
0.7044,0.0914
0.7044,0.0964
0.7044,0.1015
0.7044,0.132
0.7044,0.1371
0.7044,0.1421
0.7044,0.2487
0.7044,0.2538
0.7044,0.2589
0.7072,0.0964
0.7072,0.1015
0.7072,0.1371
0.7072,0.1421
0.7072,0.2487
0.7072,0.2538
0.7072,0.2589
0.7099,0.0964
0.7099,0.1015
0.7099,0.1066
0.7099,0.2487
0.7099,0.2538
0.7099,0.2589
0.7127,0.0964
0.7127,0.1015
0.7127,0.1066
0.7127,0.2487
0.7127,0.2538
0.7127,0.2589
0.7155,0.1015
0.7155,0.1066
0.7155,0.1117
0.7155,0.2487
0.7155,0.2538
0.7155,0.2589
0.7182,0.1015
0.7182,0.1066
0.7182,0.1117
0.7182,0.1168
0.7182,0.1218
0.7182,0.1269
0.7182,0.2487
0.7182,0.2538
0.7182,0.2589
0.721,0.1066
0.721,0.1117
0.721,0.1168
0.721,0.1218
0.721,0.1269
0.721,0.2487
0.721,0.2538
0.721,0.2589
0.7238,0.1117
0.7238,0.1218
0.7238,0.2487
0.7238,0.2538
0.7238,0.2589
0.7265,0.2487
0.7265,0.2538
0.7265,0.2589
0.7293,0.2487
0.7293,0.2538
0.7293,0.2589
0.732,0.2487
0.732,0.2538
0.732,0.2589
0.7348,0.2487
0.7348,0.2538
0.7348,0.2589
0.7376,0.2487
0.7376,0.2538
0.7376,0.2589
0.7403,0.2487
0.7403,0.2538
0.7403,0.2589
0.7431,0.2487
0.7431,0.2538
0.7431,0.2589
0.7459,0.2487
0.7459,0.2538
0.7459,0.2589
0.7486,0.2487
0.7486,0.2538
0.7486,0.2589
0.7514,0.2487
0.7514,0.2538
0.7514,0.2589
0.7541,0.2487
0.7541,0.2538
0.7541,0.2589
0.7569,0.2487
0.7569,0.2538
0.7569,0.2589
0.7597,0.2487
0.7597,0.2538
0.7597,0.2589
0.7624,0.2487
0.7624,0.2538
0.7624,0.2589
0.7652,0.2487
0.7652,0.2538
0.7652,0.2589
0.768,0.2487
0.768,0.2538
0.768,0.2589
0.7707,0.2487
0.7707,0.2538
0.7707,0.2589
0.7735,0.2487
0.7735,0.2538
0.7735,0.2589
0.7762,0.2487
0.7762,0.2538
0.7762,0.2589
0.779,0.2487
0.779,0.2538
0.779,0.2589
0.7818,0.2487
0.7818,0.2538
0.7818,0.2589
0.7845,0.2487
0.7845,0.2538
0.7845,0.2589
0.7873,0.2487
0.7873,0.2538
0.7873,0.2589
0.7901,0.2487
0.7901,0.2538
0.7901,0.2589
0.7928,0.2487
0.7928,0.2538
0.7928,0.2589
0.7956,0.2487
0.7956,0.2538
0.7956,0.2589
0.7983,0.2487
0.7983,0.2538
0.7983,0.2589
0.8011,0.0051
0.8011,0.2487
0.8011,0.2538
0.8011,0.2589
0.8011,1.0
0.8039,0.2487
0.8039,0.2538
0.8039,0.2589
0.8066,0.2487
0.8066,0.2538
0.8066,0.2589
0.8094,0.2487
0.8094,0.2538
0.8094,0.2589
0.8122,0.2487
0.8122,0.2538
0.8122,0.2589
0.8149,0.2487
0.8149,0.2538
0.8149,0.2589
0.8177,0.2487
0.8177,0.2538
0.8177,0.2589
0.8204,0.2487
0.8204,0.2538
0.8204,0.2589
0.8232,0.2487
0.8232,0.2538
0.8232,0.2589
0.826,0.2487
0.826,0.2538
0.826,0.2589
0.8287,0.2487
0.8287,0.2538
0.8287,0.2589
0.8315,0.2487
0.8315,0.2538
0.8315,0.2589
0.8343,0.2487
0.8343,0.2538
0.8343,0.2589
0.837,0.2487
0.837,0.2538
0.837,0.2589
0.8398,0.2487
0.8398,0.2538
0.8398,0.2589
0.8425,0.2487
0.8425,0.2538
0.8425,0.2589
0.8453,0.2487
0.8453,0.2538
0.8453,0.2589
0.8481,0.2487
0.8481,0.2538
0.8481,0.2589
0.8508,0.2487
0.8508,0.2538
0.8508,0.2589
0.8536,0.2487
0.8536,0.2538
0.8536,0.2589
0.8564,0.2487
0.8564,0.2538
0.8564,0.2589
0.8591,0.2487
0.8591,0.2538
0.8591,0.2589
0.8619,0.2487
0.8619,0.2538
0.8619,0.2589
0.8646,0.2487
0.8646,0.2538
0.8646,0.2589
0.8674,0.2487
0.8674,0.2538
0.8674,0.2589
0.8702,0.2487
0.8702,0.2538
0.8702,0.2589
0.8729,0.2487
0.8729,0.2538
0.8729,0.2589
0.8757,0.2487
0.8757,0.2538
0.8757,0.2589
0.8785,0.2487
0.8785,0.2538
0.8785,0.2589
0.8812,0.2487
0.8812,0.2538
0.8812,0.2589
0.884,0.2487
0.884,0.2538
0.884,0.2589
0.8867,0.2487
0.8867,0.2538
0.8867,0.2589
0.8895,0.2487
0.8895,0.2538
0.8895,0.2589
0.8923,0.2487
0.8923,0.2538
0.8923,0.2589
0.895,0.2487
0.895,0.2538
0.895,0.2589
0.8978,0.2487
0.8978,0.2538
0.8978,0.2589
0.9006,0.2487
0.9006,0.2538
0.9006,0.2589
0.9033,0.2487
0.9033,0.2538
0.9033,0.2589
0.9061,0.2487
0.9061,0.2538
0.9061,0.2589
0.9088,0.2487
0.9088,0.2538
0.9088,0.2589
0.9116,0.2487
0.9116,0.2538
0.9116,0.2589
0.9144,0.2487
0.9144,0.2538
0.9144,0.2589
0.9171,0.2487
0.9171,0.2538
0.9171,0.2589
0.9199,0.2487
0.9199,0.2538
0.9199,0.2589
0.9227,0.2487
0.9227,0.2538
0.9227,0.2589
0.9254,0.2487
0.9254,0.2538
0.9254,0.2589
0.9282,0.2487
0.9282,0.2538
0.9282,0.2589
0.9309,0.2487
0.9309,0.2538
0.9309,0.2589
0.9337,0.2487
0.9337,0.2538
0.9337,0.2589
0.9365,0.2487
0.9365,0.2538
0.9365,0.2589
0.9392,0.2487
0.9392,0.2538
0.9392,0.2589
0.942,0.2487
0.942,0.2538
0.942,0.2589
0.9448,0.2487
0.9448,0.2538
0.9448,0.2589
0.9475,0.2487
0.9475,0.2538
0.9475,0.2589
0.9503,0.2487
0.9503,0.2538
0.9503,0.2589
0.953,0.2487
0.953,0.2538
0.953,0.2589
0.9558,0.2487
0.9558,0.2538
0.9558,0.2589
0.9586,0.2487
0.9586,0.2538
0.9586,0.2589
0.9613,0.2487
0.9613,0.2538
0.9613,0.2589
0.9641,0.2487
0.9641,0.2538
0.9641,0.2589
0.9669,0.2487
0.9669,0.2538
0.9669,0.2589
0.9696,0.2487
0.9696,0.2538
0.9696,0.2589
0.9724,0.2487
0.9724,0.2538
0.9724,0.2589
0.9751,0.2487
0.9751,0.2538
0.9751,0.2589
0.9779,0.2487
0.9779,0.2538
0.9779,0.2589
0.9807,0.2487
0.9807,0.2538
0.9807,0.2589
0.9834,0.2487
0.9834,0.2538
0.9834,0.2589
0.9862,0.2487
0.9862,0.2538
0.9862,0.2589
0.989,0.2487
0.989,0.2538
0.989,0.2589
0.9917,0.2487
0.9917,0.2538
0.9917,0.2589
0.9945,0.2487
0.9945,0.2538
0.9945,0.2589
0.9972,0.2487
0.9972,0.2538
0.9972,0.2589
1.0,0.2487
1.0,0.2538
1.0,0.2589
1.0,0.802
